time	Eall.5	Eall1.0	Eall2.0	Eall4.0	Eall6.0	Eall8.0
195.5	0.000976	0.00195	0.00388	0.00768	0.0114	0.0151
196	0.000979	0.00195	0.00389	0.0077	0.0114	0.0151
196.5	0.000981	0.00196	0.0039	0.00772	0.0115	0.0151
197	0.000984	0.00196	0.00391	0.00774	0.0115	0.0152
197.5	0.000986	0.00197	0.00392	0.00776	0.0115	0.0152
198	0.000989	0.00197	0.00393	0.00778	0.0115	0.0152
198.5	0.000991	0.00198	0.00394	0.0078	0.0116	0.0153
199	0.000994	0.00198	0.00395	0.00781	0.0116	0.0153
199.5	0.000996	0.00199	0.00396	0.00783	0.0116	0.0154
200	0.000999	0.00199	0.00397	0.00785	0.0117	0.0154
200.5	0.001	0.002	0.00398	0.00787	0.0117	0.0154
201	0.001	0.002	0.00399	0.00789	0.0117	0.0155
201.5	0.00101	0.00201	0.004	0.00791	0.0117	0.0155
202	0.00101	0.00201	0.00401	0.00793	0.0118	0.0155
202.5	0.00101	0.00202	0.00402	0.00795	0.0118	0.0156
203	0.00101	0.00202	0.00402	0.00797	0.0118	0.0156
203.5	0.00102	0.00203	0.00403	0.00799	0.0119	0.0157
204	0.00102	0.00203	0.00404	0.00801	0.0119	0.0157
204.5	0.00102	0.00204	0.00405	0.00803	0.0119	0.0157
205	0.00102	0.00204	0.00406	0.00805	0.0119	0.0158
205.5	0.00103	0.00205	0.00407	0.00807	0.012	0.0158
206	0.00103	0.00205	0.00408	0.00809	0.012	0.0158
206.5	0.00103	0.00206	0.00409	0.00811	0.012	0.0159
207	0.00103	0.00206	0.0041	0.00812	0.0121	0.0159
207.5	0.00104	0.00207	0.00411	0.00814	0.0121	0.016
208	0.00104	0.00207	0.00412	0.00816	0.0121	0.016
208.5	0.00104	0.00208	0.00413	0.00818	0.0121	0.016
